15 Mai 2026	0.2576	-0.0010	-0.39 %
14 Mai 2026	0.2586	+0.0006	0.23 %
13 Mai 2026	0.2580	+0.0007	0.27 %
12 Mai 2026	0.2573	-0.0006	-0.23 %
11 Mai 2026	0.2579	-0.0002	-0.08 %
8 Mai 2026	0.2581	-0.0017	-0.65 %
7 Mai 2026	0.2598	+0.0002	0.08 %
6 Mai 2026	0.2596	+0.0042	1.64 %
5 Mai 2026	0.2554	+0.0012	0.47 %
4 Mai 2026	0.2542	+0.0034	1.36 %
30 Apr. 2026	0.2508	+0.0004	0.16 %
29 Apr. 2026	0.2504	+0.0005	0.2 %
28 Apr. 2026	0.2499	+0.0001	0.04 %
27 Apr. 2026	0.2498	-0.0001	-0.04 %
24 Apr. 2026	0.2499	-0.0006	-0.24 %
23 Apr. 2026	0.2505	-0.0002	-0.08 %
22 Apr. 2026	0.2507	+0.0004	0.16 %
21 Apr. 2026	0.2503	+0.0005	0.2 %
20 Apr. 2026	0.2498	-0.0010	-0.4 %
17 Apr. 2026	0.2508	+0.0006	0.24 %
16 Apr. 2026	0.2502	-0.0001	-0.04 %
15 Apr. 2026	0.2503	0	0 %
14 Apr. 2026	0.2503	+0.0002	0.08 %
9 Apr. 2026	0.2501	+0.0004	0.16 %
8 Apr. 2026	0.2497	+0.0010	0.4 %
7 Apr. 2026	0.2487	+0.0006	0.24 %
6 Apr. 2026	0.2481	+0.0007	0.28 %
3 Apr. 2026	0.2474	+0.0007	0.28 %
2 Apr. 2026	0.2467	+0.0003	0.12 %
1 Apr. 2026	0.2464	+0.0006	0.24 %
31 Mart. 2026	0.2458	+0.0004	0.16 %
30 Mart. 2026	0.2454	-0.0002	-0.08 %
27 Mart. 2026	0.2456	-0.0019	-0.77 %
26 Mart. 2026	0.2475	-0.0003	-0.12 %
25 Mart. 2026	0.2478	+0.0013	0.53 %
24 Mart. 2026	0.2465	+0.0010	0.41 %
23 Mart. 2026	0.2455	-0.0017	-0.69 %
20 Mart. 2026	0.2472	-0.0023	-0.92 %
19 Mart. 2026	0.2495	-0.0010	-0.4 %
18 Mart. 2026	0.2505	+0.0003	0.12 %
17 Mart. 2026	0.2502	+0.0009	0.36 %
16 Mart. 2026	0.2493	+0.0004	0.16 %
13 Mart. 2026	0.2489	-0.0002	-0.08 %
12 Mart. 2026	0.2491	-0.0004	-0.16 %
11 Mart. 2026	0.2495	+0.0001	0.04 %
10 Mart. 2026	0.2494	+0.0030	1.22 %
9 Mart. 2026	0.2464	-0.0012	-0.48 %
6 Mart. 2026	0.2476	-0.0010	-0.4 %
5 Mart. 2026	0.2486	-0.0002	-0.08 %
4 Mart. 2026	0.2488	-0.0027	-1.07 %
3 Mart. 2026	0.2515	+0.0002	0.08 %
2 Mart. 2026	0.2513	+0.0002	0.08 %
27 Feb. 2026	0.2511	-0.0002	-0.08 %
26 Feb. 2026	0.2513	-0.0005	-0.2 %
25 Feb. 2026	0.2518	+0.0016	0.64 %
24 Feb. 2026	0.2502	-0.0015	-0.6 %
23 Feb. 2026	0.2517	+0.0002	0.08 %
20 Feb. 2026	0.2515	+0.0008	0.32 %
19 Feb. 2026	0.2507	-0.0011	-0.44 %
18 Feb. 2026	0.2518	+0.0014	0.56 %
17 Feb. 2026	0.2504	+0.0001	0.04 %
16 Feb. 2026	0.2503	+0.0011	0.44 %
13 Feb. 2026	0.2492	-0.0006	-0.24 %
12 Feb. 2026	0.2498	+0.0006	0.24 %
11 Feb. 2026	0.2492	+0.0006	0.24 %
10 Feb. 2026	0.2486	-0.0001	-0.04 %
9 Feb. 2026	0.2487	-0.0002	-0.08 %
6 Feb. 2026	0.2489	0	0 %
5 Feb. 2026	0.2489	-0.0009	-0.36 %
4 Feb. 2026	0.2498	+0.0007	0.28 %
3 Feb. 2026	0.2491	+0.0027	1.1 %
2 Feb. 2026	0.2464	-0.0005	-0.2 %
30 Ian. 2026	0.2469	-0.0017	-0.68 %
29 Ian. 2026	0.2486	+0.0009	0.36 %
28 Ian. 2026	0.2477	+0.0003	0.12 %
27 Ian. 2026	0.2474	-0.0001	-0.04 %
26 Ian. 2026	0.2475	-0.0012	-0.48 %
23 Ian. 2026	0.2487	-0.0008	-0.32 %
22 Ian. 2026	0.2495	+0.0014	0.56 %
